8.782e+04,8.981e+03,2.404e+03,2.195e+03,2.105e+03,2.038e+03,1.984e+03,1.935e+03,1.903e+03,1.876e+03,1.852e+03,1.826e+03
5.613e+04,9.723e+03,2.387e+03,2.181e+03,2.093e+03,2.023e+03,1.970e+03,1.924e+03,1.893e+03,1.865e+03,1.839e+03,1.815e+03
6.669e+04,9.434e+03,2.371e+03,2.181e+03,2.091e+03,2.021e+03,1.970e+03,1.924e+03,1.894e+03,1.866e+03,1.840e+03,1.816e+03
4.005e+04,9.569e+03,2.403e+03,2.205e+03,2.106e+03,2.035e+03,1.978e+03,1.935e+03,1.899e+03,1.868e+03,1.846e+03,1.824e+03
5.681e+04,9.360e+03,2.362e+03,2.174e+03,2.085e+03,2.015e+03,1.963e+03,1.920e+03,1.889e+03,1.861e+03,1.834e+03,1.812e+03
5.353e+04,9.960e+03,2.383e+03,2.199e+03,2.104e+03,2.036e+03,1.982e+03,1.935e+03,1.901e+03,1.875e+03,1.850e+03,1.825e+03
1.046e+05,1.115e+04,2.398e+03,2.218e+03,2.125e+03,2.052e+03,1.998e+03,1.950e+03,1.918e+03,1.889e+03,1.863e+03,1.838e+03
7.030e+04,9.624e+03,2.417e+03,2.210e+03,2.113e+03,2.044e+03,1.986e+03,1.943e+03,1.906e+03,1.873e+03,1.850e+03,1.828e+03
7.941e+04,8.996e+03,2.507e+03,2.277e+03,2.165e+03,2.086e+03,2.021e+03,1.973e+03,1.931e+03,1.901e+03,1.876e+03,1.850e+03
7.982e+04,9.536e+03,2.361e+03,2.172e+03,2.083e+03,2.018e+03,1.965e+03,1.918e+03,1.887e+03,1.861e+03,1.837e+03,1.812e+03
1.540e+05,9.830e+03,2.471e+03,2.247e+03,2.140e+03,2.074e+03,2.013e+03,1.966e+03,1.927e+03,1.894e+03,1.870e+03,1.847e+03
5.636e+04,1.014e+04,2.394e+03,2.210e+03,2.115e+03,2.046e+03,1.991e+03,1.944e+03,1.908e+03,1.881e+03,1.857e+03,1.832e+03
5.887e+04,1.123e+04,2.387e+03,2.199e+03,2.106e+03,2.036e+03,1.981e+03,1.939e+03,1.906e+03,1.877e+03,1.850e+03,1.827e+03
6.891e+04,9.303e+03,2.381e+03,2.196e+03,2.101e+03,2.032e+03,1.975e+03,1.936e+03,1.902e+03,1.872e+03,1.846e+03,1.823e+03
2.660e+05,1.115e+04,2.387e+03,2.191e+03,2.099e+03,2.032e+03,1.977e+03,1.934e+03,1.898e+03,1.870e+03,1.848e+03,1.825e+03
1.368e+05,9.695e+03,2.380e+03,2.183e+03,2.091e+03,2.021e+03,1.967e+03,1.925e+03,1.893e+03,1.865e+03,1.837e+03,1.815e+03
9.571e+04,9.734e+03,2.372e+03,2.182e+03,2.085e+03,2.019e+03,1.964e+03,1.925e+03,1.890e+03,1.861e+03,1.837e+03,1.813e+03
1.555e+05,1.117e+04,2.386e+03,2.189e+03,2.101e+03,2.028e+03,1.975e+03,1.929e+03,1.897e+03,1.869e+03,1.842e+03,1.819e+03
5.424e+04,1.062e+04,2.417e+03,2.195e+03,2.098e+03,2.027e+03,1.974e+03,1.926e+03,1.895e+03,1.868e+03,1.842e+03,1.817e+03
7.745e+04,1.118e+04,2.527e+03,2.238e+03,2.132e+03,2.058e+03,2.000e+03,1.956e+03,1.919e+03,1.889e+03,1.863e+03,1.837e+03
1.442e+05,8.300e+03,2.443e+03,2.228e+03,2.123e+03,2.045e+03,1.992e+03,1.944e+03,1.909e+03,1.878e+03,1.849e+03,1.825e+03
8.736e+04,1.140e+04,2.390e+03,2.189e+03,2.094e+03,2.023e+03,1.969e+03,1.925e+03,1.893e+03,1.865e+03,1.838e+03,1.816e+03
8.229e+04,1.009e+04,2.453e+03,2.227e+03,2.128e+03,2.051e+03,1.995e+03,1.945e+03,1.913e+03,1.883e+03,1.855e+03,1.830e+03
